Age,Male,Female,Quantity,Total_Amount,Product_ID,Product_Category,Price_per_Unit,Time_Unitless,Year,Month,Week,Window_Mean_4,Window_Mean_5,Window_Mean_6,Window_Mean_7
19.0,0,1,1,25,0,Beauty,25,0,2023,1,1,81.25,80.0,70.83,78.57
19.0,1,0,2,50,0,Beauty,25,1,2023,1,2,81.25,80.0,70.83,78.57
34.0,1,2,10,250,0,Beauty,25,2,2023,1,3,81.25,80.0,70.83,78.57
0.0,0,0,0,0,0,Beauty,25,3,2023,1,4,81.25,80.0,70.83,78.57
23.0,0,1,3,75,0,Beauty,25,4,2023,1,5,93.75,80.0,70.83,78.57
43.0,0,1,1,25,0,Beauty,25,5,2023,2,6,87.5,80.0,70.83,78.57
39.5,2,0,5,125,0,Beauty,25,6,2023,2,7,56.25,95.0,87.5,78.57
0.0,0,0,0,0,0,Beauty,25,7,2023,2,8,56.25,45.0,79.17,75.0
30.0,1,0,3,90,1,Beauty,30,0,2023,1,2,82.5,102.0,85.0,72.86
32.0,1,1,5,150,1,Beauty,30,1,2023,1,3,82.5,102.0,85.0,72.86
48.0,0,2,3,90,1,Beauty,30,2,2023,1,4,82.5,102.0,85.0,72.86
0.0,0,0,0,0,1,Beauty,30,3,2023,1,5,82.5,102.0,85.0,72.86
47.0,2,1,6,180,1,Beauty,30,4,2023,2,6,105.0,102.0,85.0,72.86
0.0,0,0,0,0,1,Beauty,30,5,2023,2,7,67.5,84.0,85.0,72.86
0.0,0,0,0,0,1,Beauty,30,6,2023,2,8,45.0,54.0,70.0,72.86
55.0,0,1,1,30,1,Beauty,30,7,2023,2,9,52.5,42.0,50.0,64.29
